,index,Lat,Lon,Temp
174,56,-2.9,-60.56,299.21
175,57,-2.5,-55.0,300.20898
176,58,-2.9,-60.56,299.206
177,59,-2.5,-55.0,300.04498
178,60,-2.9,-60.56,298.943
179,61,-2.5,-55.0,299.764
180,0,-2.9,-60.56,298.831
181,1,-2.5,-55.0,299.577
182,2,-2.9,-60.56,298.897
183,3,-2.5,-55.0,301.051
184,4,-2.9,-60.56,298.787
185,5,-2.5,-55.0,301.061
186,6,-2.9,-60.56,298.744
187,7,-2.5,-55.0,301.063
188,8,-2.9,-60.56,298.354
189,9,-2.5,-55.0,300.866
190,10,-2.9,-60.56,297.636
191,11,-2.5,-55.0,300.663
192,12,-2.9,-60.56,297.939
193,13,-2.5,-55.0,301.254
194,14,-2.9,-60.56,298.901
195,15,-2.5,-55.0,301.14398
196,16,-2.9,-60.56,298.943
197,17,-2.5,-55.0,300.839
198,18,-2.9,-60.56,298.613
199,19,-2.5,-55.0,300.83798
200,20,-2.9,-60.56,298.451
201,21,-2.5,-55.0,300.79898
202,22,-2.9,-60.56,298.06
203,23,-2.5,-55.0,300.731
204,24,-2.9,-60.56,296.81198
205,25,-2.5,-55.0,300.259
206,26,-2.9,-60.56,296.415
207,27,-2.5,-55.0,298.988
208,28,-2.9,-60.56,298.235
209,29,-2.5,-55.0,300.52798
210,30,-2.9,-60.56,298.836
211,31,-2.5,-55.0,300.968
212,32,-2.9,-60.56,299.431
213,33,-2.5,-55.0,301.145
214,34,-2.9,-60.56,300.939
215,35,-2.5,-55.0,301.804
216,36,-2.9,-60.56,300.94998
217,37,-2.5,-55.0,301.168
218,38,-2.9,-60.56,300.78
219,39,-2.5,-55.0,301.126
220,40,-2.9,-60.56,300.194
221,41,-2.5,-55.0,301.228
222,42,-2.9,-60.56,300.655
223,43,-2.5,-55.0,301.162
224,44,-2.9,-60.56,297.929
225,45,-2.5,-55.0,300.447
226,46,-2.9,-60.56,299.328
227,47,-2.5,-55.0,300.11
228,48,-2.9,-60.56,298.16998
229,49,-2.5,-55.0,299.819
230,50,-2.9,-60.56,298.942
231,51,-2.5,-55.0,299.705
232,52,-2.9,-60.56,299.061
233,53,-2.5,-55.0,300.671
234,54,-2.9,-60.56,299.323
235,55,-2.5,-55.0,301.902
236,56,-2.9,-60.56,299.376
237,57,-2.5,-55.0,301.867
238,58,-2.9,-60.56,299.389
239,59,-2.5,-55.0,301.87
240,0,-2.9,-60.56,299.244
241,1,-2.5,-55.0,301.32
242,2,-2.9,-60.56,300.44998
